position,target,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda
FW,goals_per_90,342,3,0.04078503322979708,0.6146993012185686,0.9326209969891717,6,0.1951132215834171,6.203797650319751
FW,assists_per_90,332,4,0.014596049458337671,0.5957887037365955,0.8433048024427421,18,0.42730609326848434,3.3368054255668427
FW,xg_per_90,295,4,0.051738369226083124,0.5442841651640401,0.6118338391189602,13,0.48878925283037383,5.721461079369432
FW,shots_per_90,296,4,0.01335637935756162,0.8164823185332301,0.8285726521637807,8,1.0360313762520423,7.965197761709994
DF,aerials_won_pct,359,4,0.012225031418568507,0.7072958782974688,0.7002962794734425,16,1.9099980589532441,8.129917439578023
DF,pass_completion_pct,343,5,0.01941680616785432,0.7027871335199415,0.8391148353834075,5,2.9962778764845064,9.346846365271698
DF,interceptions_per90,296,3,0.03669807489062162,0.6135695058254393,0.7336440979986897,9,1.3618935798612515,0.5325722510776955
DF,clearances_per90,371,3,0.01606798362304285,0.762539622794355,0.931237043311068,13,0.2112188165026552,4.669266267243747
MF,pass_completion_pct,186,4,0.06266332456735686,0.6370058072961822,0.5065701578589044,12,0.6940641877629383,7.829563183205582
MF,progressive_passes_per90,51,5,0.04155397855708038,0.8645035840204937,0.8856351733429728,2,1.7923286427213632,1.6007560654887323
MF,key_passes_per90,372,2,0.0977501851480759,0.5085930751344794,0.9869601043141658,20,4.93239217948423,9.700684889319456
MF,tackles_interceptions_per90,254,3,0.06098984130799886,0.719381544895466,0.818960260149796,6,1.2610363165424272,5.11528907426419
MF,ball_recoveries_per90,299,2,0.022336273369359217,0.6088622527953683,0.7588040580028552,16,3.3175345399127725,4.875608963981104
MF,assists_per_90,391,3,0.028864910692108232,0.5018203726540555,0.5225230855336822,10,0.1727037465509798,7.618859142266086
